model,mae,rmse,r2
RandomForest,5410.938570690978,10828.572496416584,0.9838346725932573
DecisionTree,3572.211541865817,11952.232126139963,0.9803057191763125
GradientBoosting,24715.5478926016,40185.00136816281,0.7773769834857015
LinearRegression,29582.51315687862,42144.04269489422,0.7551419002950592
